file: Tile_012-062-000000_0-000.s0001_e00.tif; corr: 0; position: (184438.63673144364, 56.66062021097605); grid: (50, 0);
file: Tile_012-063-000000_0-000.s0001_e00.tif; corr: 0; position: (188123.53778653557, 41.77317332682287); grid: (51, 0);
file: Tile_012-064-000000_0-000.s0001_e00.tif; corr: 0; position: (191807.95329673658, 27.379873263140325); grid: (52, 0);
file: Tile_012-065-000000_0-000.s0001_e00.tif; corr: 0; position: (195488.02506611292, 13.679927756806137); grid: (53, 0);
file: Tile_012-066-000000_0-000.s0001_e00.tif; corr: 0; position: (199176.8973538623, 2.1537224449784844); grid: (54, 0);
file: Tile_012-067-000000_0-000.s0001_e00.tif; corr: 0; position: (202856.97369418404, 0.0); grid: (55, 0);
file: Tile_013-012-000000_0-000.s0001_e00.tif; corr: 0; position: (6.865682202929747, 4608.737958466976); grid: (0, 1);
file: Tile_013-013-000000_0-000.s0001_e00.tif; corr: 0; position: (3692.402867857745, 4597.008898383436); grid: (1, 1);
file: Tile_013-014-000000_0-000.s0001_e00.tif; corr: 0; position: (7385.29380318828, 4583.299630695918); grid: (2, 1);
file: Tile_013-015-000000_0-000.s0001_e00.tif; corr: 0; position: (11088.904603882256, 4570.123284976267); grid: (3, 1);
file: Tile_013-016-000000_0-000.s0001_e00.tif; corr: 0; position: (14782.070958256285, 4554.570790929647); grid: (4, 1);
file: Tile_013-017-000000_0-000.s0001_e00.tif; corr: 0; position: (18469.75109297756, 4539.055046755129); grid: (5, 1);
file: Tile_013-018-000000_0-000.s0001_e00.tif; corr: 0; position: (22167.627523120085, 4524.710071513073); grid: (6, 1);
file: Tile_013-019-000000_0-000.s0001_e00.tif; corr: 0; position: (25865.115195500024, 4510.052248682543); grid: (7, 1);
file: Tile_013-020-000000_0-000.s0001_e00.tif; corr: 0; position: (29551.54770980758, 4495.4501320704); grid: (8, 1);
file: Tile_013-021-000000_0-000.s0001_e00.tif; corr: 0; position: (33250.57259681448, 4480.821774276825); grid: (9, 1);
file: Tile_013-022-000000_0-000.s0001_e00.tif; corr: 0; position: (36945.92797425471, 4466.203856623833); grid: (10, 1);
file: Tile_013-023-000000_0-000.s0001_e00.tif; corr: 0; position: (40646.13638358854, 4451.652918037929); grid: (11, 1);
file: Tile_013-024-000000_0-000.s0001_e00.tif; corr: 0; position: (44342.761600793456, 4439.005996265063); grid: (12, 1);
file: Tile_013-025-000000_0-000.s0001_e00.tif; corr: 0; position: (48044.1425974319, 4422.619519924228); grid: (13, 1);
file: Tile_013-026-000000_0-000.s0001_e00.tif; corr: 0; position: (51727.9462472552, 4409.014339309746); grid: (14, 1);
