file: Tile_019-021-000000_0-000.s0001_e00.tif; corr: 0; position: (0.0, 436.608059662758); grid: (0, 0);
file: Tile_019-022-000000_0-000.s0001_e00.tif; corr: 0; position: (3637.487255979664, 415.787180371728); grid: (1, 0);
file: Tile_019-023-000000_0-000.s0001_e00.tif; corr: 0; position: (7284.457464173553, 400.84750865028764); grid: (2, 0);
file: Tile_019-024-000000_0-000.s0001_e00.tif; corr: 0; position: (10933.735980455167, 386.3396845032257); grid: (3, 0);
file: Tile_019-025-000000_0-000.s0001_e00.tif; corr: 0; position: (14583.63241043991, 374.4234444813774); grid: (4, 0);
file: Tile_019-026-000000_0-000.s0001_e00.tif; corr: 0; position: (18231.188694555385, 362.756438399083); grid: (5, 0);
file: Tile_019-027-000000_0-000.s0001_e00.tif; corr: 0; position: (21888.124530697067, 351.6498288372677); grid: (6, 0);
file: Tile_019-028-000000_0-000.s0001_e00.tif; corr: 0; position: (25536.6173208112, 339.7989541471761); grid: (7, 0);
file: Tile_019-029-000000_0-000.s0001_e00.tif; corr: 0; position: (29186.09997795841, 327.23357361189846); grid: (8, 0);
file: Tile_019-030-000000_0-000.s0001_e00.tif; corr: 0; position: (32838.38406921434, 315.32286156395276); grid: (9, 0);
file: Tile_019-031-000000_0-000.s0001_e00.tif; corr: 0; position: (36480.58375487503, 297.1376066641096); grid: (10, 0);
file: Tile_019-032-000000_0-000.s0001_e00.tif; corr: 0; position: (40121.47688031476, 306.7974035170337); grid: (11, 0);
file: Tile_019-033-000000_0-000.s0001_e00.tif; corr: 0; position: (43796.731566241535, 293.6431390498765); grid: (12, 0);
file: Tile_019-034-000000_0-000.s0001_e00.tif; corr: 0; position: (47442.47052082603, 277.99087925585627); grid: (13, 0);
file: Tile_019-035-000000_0-000.s0001_e00.tif; corr: 0; position: (51089.16302296931, 259.698406485797); grid: (14, 0);
file: Tile_019-036-000000_0-000.s0001_e00.tif; corr: 0; position: (54729.68809397152, 240.24976809843793); grid: (15, 0);
file: Tile_019-037-000000_0-000.s0001_e00.tif; corr: 0; position: (58382.9548362582, 225.64167258846282); grid: (16, 0);
