file: Tile_001-001-000000_0-000.s0001_e01.tif; corr: 0; position: (0.0, 433.661728233742); grid: (0, 0);
file: Tile_001-002-000000_0-000.s0001_e01.tif; corr: 0; position: (3714.2448482775944, 423.313186277509); grid: (1, 0);
file: Tile_001-003-000000_0-000.s0001_e01.tif; corr: 0; position: (7400.484230951581, 414.91996484945685); grid: (2, 0);
file: Tile_001-004-000000_0-000.s0001_e01.tif; corr: 0; position: (11091.069566590682, 405.3307962698286); grid: (3, 0);
file: Tile_001-005-000000_0-000.s0001_e01.tif; corr: 0; position: (14774.258460164157, 397.4561182305124); grid: (4, 0);
file: Tile_001-006-000000_0-000.s0001_e01.tif; corr: 0; position: (18460.8359250332, 389.69355723579565); grid: (5, 0);
file: Tile_001-007-000000_0-000.s0001_e01.tif; corr: 0; position: (22148.174706035585, 378.2905931512205); grid: (6, 0);
file: Tile_001-008-000000_0-000.s0001_e01.tif; corr: 0; position: (25846.64928817528, 365.400884117445); grid: (7, 0);
file: Tile_001-009-000000_0-000.s0001_e01.tif; corr: 0; position: (29546.63726994442, 357.7610076881815); grid: (8, 0);
file: Tile_001-010-000000_0-000.s0001_e01.tif; corr: 0; position: (33244.10483222385, 345.0370883414812); grid: (9, 0);
file: Tile_001-011-000000_0-000.s0001_e01.tif; corr: 0; position: (36942.18022348796, 331.8338705544029); grid: (10, 0);
file: Tile_001-012-000000_0-000.s0001_e01.tif; corr: 0; position: (40630.53373029886, 319.4358488504604); grid: (11, 0);
file: Tile_001-013-000000_0-000.s0001_e01.tif; corr: 0; position: (44323.565805805905, 309.236524499438); grid: (12, 0);
file: Tile_001-014-000000_0-000.s0001_e01.tif; corr: 0; position: (48011.93540359312, 301.78844001765174); grid: (13, 0);
file: Tile_001-015-000000_0-000.s0001_e01.tif; corr: 0; position: (51693.20452962874, 286.2786218547226); grid: (14, 0);
file: Tile_001-016-000000_0-000.s0001_e01.tif; corr: 0; position: (55371.565029196616, 277.11047135272656); grid: (15, 0);
file: Tile_001-017-000000_0-000.s0001_e01.tif; corr: 0; position: (59048.21913856565, 267.0114588181259); grid: (16, 0);
file: Tile_001-018-000000_0-000.s0001_e01.tif; corr: 0; position: (62730.495729640825, 259.6705836099936); grid: (17, 0);
file: Tile_001-019-000000_0-000.s0001_e01.tif; corr: 0; position: (66411.0905013482, 249.600557728877); grid: (18, 0);
file: Tile_001-020-000000_0-000.s0001_e01.tif; corr: 0; position: (70091.85292174126, 238.71584739167338); grid: (19, 0);
file: Tile_001-021-000000_0-000.s0001_e01.tif; corr: 0; position: (73778.97935650102, 226.21100381832684); grid: (20, 0);
file: Tile_001-022-000000_0-000.s0001_e01.tif; corr: 0; position: (77468.58227659162, 217.55147892674267); grid: (21, 0);
file: Tile_001-023-000000_0-000.s0001_e01.tif; corr: 0; position: (81152.2807033633, 211.21972105336408); grid: (22, 0);
file: Tile_001-024-000000_0-000.s0001_e01.tif; corr: 0; position: (84835.67453463725, 204.16370218658813); grid: (23, 0);
file: Tile_001-025-000000_0-000.s0001_e01.tif; corr: 0; position: (88521.29737442057, 192.9441958000143); grid: (24, 0);
file: Tile_001-026-000000_0-000.s0001_e01.tif; corr: 0; position: (92206.6904359659, 189.14801236618678); grid: (25, 0);
file: Tile_001-027-000000_0-000.s0001_e01.tif; corr: 0; position: (95895.4995244756, 178.57578867256598); grid: (26, 0);
file: Tile_001-028-000000_0-000.s0001_e01.tif; corr: 0; position: (99584.75720335543, 168.7817274970539); grid: (27, 0);
file: Tile_001-029-000000_0-000.s0001_e01.tif; corr: 0; position: (103265.7294223468, 159.71320958822253); grid: (28, 0);
file: Tile_001-030-000000_0-000.s0001_e01.tif; corr: 0; position: (106955.25250090857, 148.86446678010088); grid: (29, 0);
